"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",16.1702929297462,45.6187776755542,74.8112965142354,25.0799963483587,81.4665792277083,46.1610279977322,42.6508000353351,94.4544547935948,81.3446938758716,36.5298971300945,41.8868641834706,25.1430941978469,18.7517237151042,65.8848390216008,43.319435720332,89.2454920103773,75.4628856433555,13.9036396984011,57.1367373457178,4.31093266233802
"2",83.5484635317698,53.5595223074779,98.8234676187858,30.1201410824433,95.627159322612,60.3417810052633,1.10308048315346,6.01385710760951,15.172752761282,58.1505460198969,88.3567502023652,51.495140301995,90.1037944247946,39.0954061644152,86.7572663119063,30.0009268568829,74.704801174812,63.466816698201,71.4341047918424,8.78718318417668
"3",83.9080516481772,16.6443940019235,82.6269106939435,26.6579312039539,79.0912238648161,2.13135220110416,46.2448568549007,33.3870425820351,88.9038837980479,64.6918991114944,35.1903227157891,70.4888425534591,50.4093097522855,90.5348530039191,6.10977532342076,95.5719226039946,40.0272576371208,92.3151632072404,88.2360978983343,67.8078143158928
"4",33.1840990576893,70.9723278647289,70.9789717569947,96.3932149810717,72.3444434814155,9.54148282762617,54.8067186260596,26.7595568438992,23.121849168092,35.5337242363021,8.96173529326916,0.0747062265872955,74.1410264512524,70.6244510132819,48.934632120654,35.1983409840614,93.5883146245033,22.9993887944147,47.3425647011027,34.933118824847
"5",21.1895843269303,45.452333567664,39.5879628369585,81.4681251533329,23.2302540913224,45.0413979589939,80.0247164675966,61.1898234579712,21.4439538773149,92.9300781572238,81.4409214071929,86.3548861583695,1.39566317666322,48.4028023434803,91.568748652935,11.8263815995306,5.09307933971286,22.5482620764524,17.3211257671937,21.3977433973923
"6",84.3849452678114,4.01823611464351,65.1256494922563,80.9762691846117,8.12481103930622,19.8096343316138,71.1635624989867,75.8513536071405,18.0706799030304,46.1726526962593,31.3966370653361,27.1754923742265,53.2744728261605,29.8878646688536,68.4726311592385,35.836435854435,76.4353413134813,18.786508589983,15.8502870472148,55.7620665524155
"7",43.2674311101437,10.4593058815226,84.9312072154135,99.3572397856042,71.5271308785304,66.227155434899,76.3917731354013,1.78724892903119,23.7868397030979,18.916960968636,11.7025947431102,97.1855668816715,19.6615836350247,3.38537215720862,7.07381768152118,83.6052594706416,61.9041540194303,52.0963117945939,17.4690121086314,0.29767828527838
"8",59.2465750873089,4.66278162784874,9.85457708593458,79.5936537906528,22.438757144846,47.0333465840667,63.9219883596525,56.0612247791141,70.9939614636824,5.42945528868586,65.7823824323714,52.4999109795317,43.3967086719349,82.0394796086475,61.5633306559175,27.3122012382373,8.77863827627152,32.8904302092269,82.2884154273197,26.3076131464913
"9",27.1751724649221,26.3381651835516,57.7108068391681,37.4469619244337,42.9650173056871,91.1371170077473,5.80139737576246,35.6262830318883,27.1875213831663,35.5340888025239,1.59969315864146,65.3848080197349,47.7231686236337,17.8870170377195,5.12765294406563,59.6949422964826,65.6896575819701,63.3171113906428,1.50716034695506,45.9481906611472
"10",45.4775328747928,78.9754593744874,56.8498288048431,70.9638521075249,72.0593410078436,74.8401352204382,18.6352137243375,96.2481335038319,10.1702474523336,36.5404073381796,96.081167133525,10.0021140184253,44.9824651470408,2.44827587157488,28.2275325385854,10.4878390906379,14.9205995723605,34.5288453856483,18.0758193368092,15.9915146650746
